city,high.school,bachelor,unemployment,income,population,pop.white,pop.black,pop.indian,pop.asian,pop.hawai,pop.other,pop.multi
Garnavillo,85.3,13.2,1.6,26719,824,811,2,1,0,0,0,10
Garner,96.3,26.7,0,31378,3091,3003,13,0,0,9,1,65
Garrison,89.4,9.8,5.1,31375,352,334,0,0,0,0,0,18
Garwin,93.9,12.5,5.6,32625,503,486,10,2,0,0,0,5
Geneva,95.8,6.3,12.5,21944,143,138,5,0,0,0,0,0
George,85.2,19.5,2.6,31190,1007,967,0,0,3,0,28,9
Gibson,94.1,20.6,30.3,26250,48,48,0,0,0,0,0,0
Gilbert,98.8,43.9,3.1,38839,1183,1108,11,0,17,0,4,43
Gilbertville,92.5,14.5,3.6,30909,723,703,0,0,0,0,0,20
Gillett Grove,74.2,0,10,,35,33,0,0,0,0,0,2
Gilman,91.9,8.8,8.7,31458,598,598,0,0,0,0,0,0
Gilmore City,91.7,13.6,7.5,30000,472,470,0,0,2,0,0,0
Gladbrook,95.6,18.2,6,35000,886,859,21,4,0,0,0,2
Glenwood,91,23.9,3,26369,5233,5055,68,66,0,0,0,44
Glidden,93.9,19.1,5.5,27313,1422,1400,17,5,0,0,0,0
Goldfield,89.7,10.3,2.9,30673,628,626,0,0,2,0,0,0
Goodell,89.6,1.3,3.4,22031,128,125,0,0,0,0,3,0
Goose Lake,93.6,17.2,2.2,31111,275,272,0,0,3,0,0,0
Gowrie,91.1,21.6,8.2,30643,1047,977,3,0,6,0,0,61
Graettinger,88.3,11.2,2.5,29432,716,700,12,0,0,0,4,0
Graf,89.1,16.4,5.1,32083,83,83,0,0,0,0,0,0
Grafton,91.3,8.7,0,26429,355,344,6,0,0,0,0,5
Grand Junction,91.7,9.6,13.9,24643,838,838,0,0,0,0,0,0
Grand Mound,96,16.7,4.2,29107,557,549,1,0,0,0,0,7
Grand River,83.5,13.4,6.4,26875,227,227,0,0,0,0,0,0
Grandview,88.6,19.3,4,31705,449,435,8,0,3,0,3,0
Granger,93.4,38.3,1.8,43856,1461,1414,7,1,0,0,35,4
Grant,90.1,0,6.3,23750,108,108,0,0,0,0,0,0
Granville,92.2,16.4,3.8,33235,362,350,0,0,0,0,4,8
Gravity,80,3.6,2.5,27188,157,151,0,0,0,0,0,6
Gray,92.7,17.7,0,25833,160,160,0,0,0,0,0,0
Greeley,83.2,1.5,0,33056,279,268,0,0,8,0,0,3
Greene,87.8,17.2,2.7,31724,1115,1104,0,0,0,11,0,0
Greenfield,92,15.3,2.4,31750,1951,1925,1,0,20,0,5,0
Green Mountain,89,12.1,0,32083,120,120,0,0,0,0,0,0
Greenville,82.8,3.4,3,20833,93,93,0,0,0,0,0,0
Grimes,97.7,48.6,3.2,45458,10422,10132,2,35,77,0,0,176
Grinnell,93.4,31.1,4.1,16878,9112,8272,294,15,365,5,24,137
Griswold,87.3,14.2,9.4,23977,1176,1130,0,0,16,0,0,30
Grundy Center,94.5,25.6,5.4,31728,2705,2672,33,0,0,0,0,0
Gruver,88.1,10.7,0,26250,105,103,0,0,0,0,2,0
Guernsey,94,14,7,20833,72,72,0,0,0,0,0,0
