"zipcode","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","category","sale.dollars","sale.volume"
50069,92.6,21.8,6,32273,1151,1119,0,0,2,0,0,30,"Schnapps",1373,107
50069,92.6,21.8,6,32273,1151,1119,0,0,2,0,0,30,"Distilled Spirits",982,45
50069,92.6,21.8,6,32273,1151,1119,0,0,2,0,0,30,"Whisky",30765,1894
50069,92.6,21.8,6,32273,1151,1119,0,0,2,0,0,30,"Gin",719,63
50069,92.6,21.8,6,32273,1151,1119,0,0,2,0,0,30,"Brandy",474,28
50069,92.6,21.8,6,32273,1151,1119,0,0,2,0,0,30,"Misc",3081,131
50069,92.6,21.8,6,32273,1151,1119,0,0,2,0,0,30,"Tequila",1602,77
50069,92.6,21.8,6,32273,1151,1119,0,0,2,0,0,30,"Vodka",20803,2153
50069,92.6,21.8,6,32273,1151,1119,0,0,2,0,0,30,"Rum",13237,965
50070,92.2,23.1,5.9,36380,1567,1539,14,5,5,0,0,4,NA,NA,NA
50071,92.3,15.5,5.5,26759,909,871,15,0,0,0,13,10,"Amaretto",12,2
50071,92.3,15.5,5.5,26759,909,871,15,0,0,0,13,10,"Tequila",1166,58
50071,92.3,15.5,5.5,26759,909,871,15,0,0,0,13,10,"Vodka",5037,615
50071,92.3,15.5,5.5,26759,909,871,15,0,0,0,13,10,"Misc",634,36
50071,92.3,15.5,5.5,26759,909,871,15,0,0,0,13,10,"Distilled Spirits",159,7
50071,92.3,15.5,5.5,26759,909,871,15,0,0,0,13,10,"Whisky",9896,760
50071,92.3,15.5,5.5,26759,909,871,15,0,0,0,13,10,"Brandy",133,9
50071,92.3,15.5,5.5,26759,909,871,15,0,0,0,13,10,"Gin",85,8
50071,92.3,15.5,5.5,26759,909,871,15,0,0,0,13,10,"Rum",2401,152
50071,92.3,15.5,5.5,26759,909,871,15,0,0,0,13,10,"Schnapps",413,29
50072,95.3,28.4,1.7,37917,2468,2374,36,0,45,0,0,13,"Vodka",5622,683
