"county","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","category","sale.dollars","sale.volume"
"Clay",93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375,"Misc",124741,7817
"Clay",93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375,"Amaretto",6765,719
"Clay",93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375,"Schnapps",52938,3971
"Clay",93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375,"Whisky",603838,45611
"Clay",93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375,"Brandy",35834,2909
"Clay",93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375,"Rum",214640,16640
"Clayton",91,15.3,4,29261,17735,17377,110,40,80,0,0,128,"Tequila",16162,972
"Clayton",91,15.3,4,29261,17735,17377,110,40,80,0,0,128,"Whisky",235163,16009
"Clayton",91,15.3,4,29261,17735,17377,110,40,80,0,0,128,"Amaretto",2019,273
"Clayton",91,15.3,4,29261,17735,17377,110,40,80,0,0,128,"Misc",40901,2572
"Clayton",91,15.3,4,29261,17735,17377,110,40,80,0,0,128,"Vodka",102703,11165
"Clayton",91,15.3,4,29261,17735,17377,110,40,80,0,0,128,"Brandy",11290,1059
"Clayton",91,15.3,4,29261,17735,17377,110,40,80,0,0,128,"Rum",107217,7236
"Clayton",91,15.3,4,29261,17735,17377,110,40,80,0,0,128,"Schnapps",49716,3857
"Clayton",91,15.3,4,29261,17735,17377,110,40,80,0,0,128,"Distilled Spirits",1568,73
"Clayton",91,15.3,4,29261,17735,17377,110,40,80,0,0,128,"Gin",9843,777
"Clinton",91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047,"Tequila",232579,14901
"Clinton",91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047,"Brandy",154560,8056
"Clinton",91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047,"Gin",73020,6678
"Clinton",91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047,"Rum",504582,37396
"Clinton",91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047,"Vodka",755073,70954
"Clinton",91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047,"Amaretto",18127,2096
"Clinton",91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047,"Schnapps",262643,18827
"Clinton",91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047,"Whisky",938334,58739
"Clinton",91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047,"Distilled Spirits",14747,947
"Clinton",91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047,"Misc",325744,21467
"Crawford",78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291,"Amaretto",5271,548
"Crawford",78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291,"Whisky",511187,36844
"Crawford",78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291,"Schnapps",70670,5334
"Crawford",78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291,"Vodka",193570,18613
"Crawford",78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291,"Misc",92697,5367
"Crawford",78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291,"Rum",210218,14900
"Crawford",78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291,"Tequila",76357,3865
"Crawford",78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291,"Brandy",30894,1968
"Crawford",78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291,"Gin",18770,1631
"Crawford",78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291,"Distilled Spirits",11072,1272
"Dallas",95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841,"Vodka",582588,49915
"Dallas",95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841,"Rum",290915,20386
"Dallas",95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841,"Brandy",34463,2446
"Dallas",95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841,"Distilled Spirits",13625,603
"Dallas",95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841,"Whisky",837213,49908
"Dallas",95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841,"Gin",53943,3787
"Dallas",95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841,"Schnapps",45283,3445
"Dallas",95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841,"Tequila",134630,9037
"Dallas",95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841,"Amaretto",5809,448
"Dallas",95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841,"Misc",185121,11263
"Davis",86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123,"Rum",12770,900
"Davis",86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123,"Gin",1335,147
"Davis",86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123,"Distilled Spirits",808,38
"Davis",86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123,"Tequila",2479,202
"Davis",86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123,"Brandy",2610,260
"Davis",86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123,"Schnapps",5075,427
"Davis",86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123,"Whisky",38159,2533
"Davis",86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123,"Misc",5413,439
"Davis",86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123,"Amaretto",311,36
"Davis",86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123,"Vodka",24550,2947
"Decatur",86.9,20.1,5.8,20577,8210,7815,163,37,43,18,21,113,"Misc",10771,495
"Decatur",86.9,20.1,5.8,20577,8210,7815,163,37,43,18,21,113,"Gin",2416,189
"Decatur",86.9,20.1,5.8,20577,8210,7815,163,37,43,18,21,113,"Whisky",70751,4227
"Decatur",86.9,20.1,5.8,20577,8210,7815,163,37,43,18,21,113,"Rum",21841,1475
